horizon,seed,nmse
1,0,1779.8924188681383
1,1,1549.924894702823
1,2,1508.3584567872483
10,0,89.1738552772686
10,1,82.97272524272795
10,2,84.04064466307527
100,0,1.8483299778018687
100,1,1.9839934749735642
100,2,1.9802048729470936
