budget,seed,attribution_acc,always_self_baseline,nmse_k1,nmse_k10
20000,0,0.18912760416666666,0.99169921875,242.91982953100583,13.698606227070059
20000,1,0.0008138020833333334,0.990234375,451.2437246136486,24.635564819265067
20000,2,0.0006510416666666666,0.9892578125,232.2760688974091,13.855133028957152
36000,0,0.9962565104166666,0.9895833333333334,91.92781426188753,5.019400415366986
36000,1,0.0078125,0.9908854166666666,43.988250124325084,2.8323986988230323
36000,2,0.0030924479166666665,0.98876953125,56.69661613160975,3.6512811962079317
63000,0,0.9659830729166666,0.9899088541666666,12.157563914068849,1.3583533314139102
63000,1,0.96826171875,0.9912109375,13.678559002452225,1.207117364430646
63000,2,0.22493489583333334,0.9899088541666666,15.511634869055412,1.3390148123542502
113000,0,0.9889322916666666,0.9889322916666666,8.807207569227808,0.9484787804619207
113000,1,0.990234375,0.9900716145833334,2.112178702717975,0.5694807830168621
113000,2,0.6193033854166666,0.9884440104166666,96.44016944769542,5.509641367874905
200000,0,0.005045572916666667,0.9879557291666666,2.1246355345768144,0.5224700688482395
200000,1,0.9866536458333334,0.9886067708333334,4.082830186598719,0.6579638467541715
200000,2,0.9923502604166666,0.9923502604166666,2.3167662758308274,0.537559955112035
