seed,condition,final_reward,first_reward
0,wake+sleep,-0.1491875236388296,-0.1278593942988664
0,wake-only,-0.1120000152150169,-0.11832814267836511
1,wake+sleep,-0.04340626182965934,-0.12410939601249993
1,wake-only,-0.15145314834080637,-0.16309377760626376
2,wake+sleep,-0.1275468971580267,-0.09621876594610512
2,wake-only,-0.11325002077501267,-0.10903126955963671
