seed,condition,dip_mean,dip_trend_fwt_proxy,n_shifts
0,wake+sleep,0.022500003144765895,-0.20281253952998674,3
0,wake-only,-0.005390627697731058,-0.23890629591187468,3
1,wake+sleep,-0.06945313257165253,-0.22867191326804465,3
1,wake-only,-0.00734375153357784,-0.2073047267040238,3
2,wake+sleep,0.011328127700835466,-0.18894534488208595,3
2,wake-only,0.005651043184722464,-0.22625004226574674,3
