source,n_evaluated,benefit_mean,benefit_ci95,hit_rate,ece,acceptance_rate,time_to_first_useful
ledger,3,72.96481024236179,26.585900377949663,1.0,0.44999999999999996,1.0,8192.0
logs_only,0,nan,nan,nan,nan,nan,inf
